,0
1881,23273
1882,1817
1883,157
1884,19251
1885,1325
1886,8311
1887,5220
1888,24171
1889,30191
1890,30919
1891,226
1892,4657
1893,34999
1894,26183
1895,5097
1896,35369
1897,11103
1898,35843
1899,1074
1900,10834
1901,1556
1902,12189
1903,998
1904,6958
1905,2031
1906,912
1907,8449
1908,526
1909,864
1910,32977
1911,14345
1912,4205
1913,15197
1914,32686
1915,4886
1916,22135
1917,1533
1918,1827
1919,16866
1920,9333
1921,531
1922,18115
1923,666
1924,32947
1925,5152
1926,10298
1927,34800
1928,9023
1929,7103
1930,3297
1931,1117
1932,356
1933,615
1934,8648
1935,11009
1936,3371
1937,917
1938,193
1939,27857
1940,21843
1941,10905
1942,23753
1943,1650
1944,624
1945,31865
1946,2001
1947,28179
1948,3454
1949,5204
1950,18677
1951,28979
1952,2138
1953,11531
1954,894
1955,18671
1956,1668
1957,668
1958,4447
1959,28171
1960,25801
1961,25689
1962,34284
1963,10770
1964,2605
1965,24893
1966,357
1967,30915
1968,3954
1969,30948
1970,16742
1971,9968
1972,31980
1973,32105
1974,9100
1975,1670
1976,2536
1977,10737
1978,10049
1979,3464
1980,1041
1981,19117
1982,33674
1983,782
1984,13585
1985,14645
1986,32924
1987,521
1988,34745
1989,32407
1990,21671
1991,1689
1992,1682
1993,9617
1994,33447
1995,11705
1996,5342
1997,2113
1998,21855
1999,22097
2000,1732
2001,32606
2002,29786
2003,743
2004,388
2005,4134
2006,24475
2007,34414
2008,1728
2009,2117
2010,33506
2011,15689
2012,873
2013,18849
2014,32094
2015,25649
2016,1618
2017,12695
2018,5713
2019,905
2020,237
2021,466
2022,1536
2023,6980
2024,4596
2025,566
2026,10271
2027,1285
2028,16732
2029,15813
2030,6634
2031,31324
2032,20931
2033,31414
2034,22677
2035,3104
2036,32700
2037,1119
2038,32648
2039,47
2040,2448
2041,27503
2042,33836
2043,118
2044,4720
2045,8293
2046,709
2047,1145
2048,2866
2049,22297
2050,981
2051,2458
2052,18231
2053,6033
2054,21327
2055,4262
2056,1652
2057,29093
2058,31289
2059,16664
2060,33419
2061,2490
2062,9201
2063,12445
2064,12411
2065,33024
2066,5526
2067,109
2068,24627
2069,5538
2070,31490
2071,13759
2072,218
2073,18523
2074,14349
2075,869
2076,31631
2077,930
2078,1025
2079,34402
2080,30385
2081,23237
2082,34933
2083,2248
2084,530
2085,2721
2086,14921
2087,6305
2088,5337
2089,16906
2090,1991
2091,3759
2092,20903
2093,15225
2094,10216
2095,2875
2096,1780
2097,30911
2098,20473
2099,1016
2100,23277
2101,2768
2102,15199
2103,10821
2104,11933
2105,455
2106,27833
2107,28755
2108,6676
2109,32086
2110,278
2111,878
2112,11375
2113,175
2114,650
2115,34136
2116,8487
2117,777
2118,30537
2119,15119
2120,2937
2121,450
2122,9712
2123,31683
2124,3421
2125,649
2126,1251
2127,16524
2128,11433
2129,16910
2130,3328
2131,2434
2132,23755
2133,27989
2134,6714
2135,22507
2136,160
2137,30740
2138,21729
2139,12403
2140,49
2141,1132
2142,10624
2143,29573
2144,1089
2145,961
2146,1127
2147,1835
2148,5306
2149,24997
2150,33513
2151,21305
2152,1898
2153,969
2154,23441
2155,9366
2156,14093
2157,16189
2158,691
2159,16498
2160,83
2161,33783
2162,14511
2163,27509
2164,5020
2165,877
2166,7748
2167,587
2168,13659
2169,147
2170,22189
2171,18507
2172,3352
2173,12883
2174,3604
2175,1816
2176,14145
2177,15793
2178,1896
2179,74
2180,1082
2181,33564
2182,10219
2183,1534
2184,23987
2185,34538
2186,24227
2187,1952
2188,16934
2189,10920
2190,23341
2191,796
2192,11889
2193,15993
2194,1893
2195,33244
2196,1401
2197,27775
2198,371
2199,25519
2200,696
2201,31680
2202,12113
2203,1813
2204,24919
2205,1544
2206,4312
2207,16916
2208,1037
2209,4765
2210,30870
2211,11227
2212,1349
2213,18
2214,6325
2215,2229
2216,4639
2217,22729
2218,467
2219,10590
2220,13357
2221,10458
2222,9708
2223,9515
2224,24277
2225,31722
2226,2237
2227,17871
2228,3004
2229,10073
2230,33161
2231,8206
2232,34465
2233,12711
2234,31564
2235,14237
2236,1967
2237,358
2238,12929
2239,1172
2240,286
2241,2782
2242,3090
2243,34504
2244,9938
2245,34176
2246,4163
2247,9365
2248,35009
2249,156
2250,537
2251,348
2252,185
2253,461
2254,2847
2255,1212
2256,7724
2257,900
2258,536
2259,31764
2260,1478
2261,22661
2262,1583
2263,29089
2264,1085
2265,4722
2266,17573
2267,6213
2268,770
2269,34973
2270,54
2271,21273
2272,4795
2273,30381
2274,2603
2275,31143
2276,17705
2277,21167
2278,7739
2279,30413
2280,31754
2281,19799
2282,1914
2283,9744
2284,23289
2285,571
2286,31973
2287,21573
2288,34561
2289,28683
2290,10191
2291,868
2292,2330
2293,5734
2294,23199
2295,1171
2296,538
2297,14827
2298,940
2299,1750
2300,17641
2301,34394
2302,33253
2303,10460
2304,7144
2305,6171
2306,14123
2307,1133
2308,6438
2309,19369
2310,8624
2311,21473
2312,11843
2313,16890
2314,3354
2315,29941
2316,12709
2317,9958
2318,23781
2319,18095
2320,24457
2321,33371
2322,18857
2323,34447
2324,25719
2325,2170
2326,1593
2327,2124
2328,33964
2329,1847
2330,1761
2331,35382
2332,4182
2333,32867
2334,311
2335,12477
2336,4095
2337,641
2338,14829
2339,490
2340,20545
2341,10805
2342,35134
2343,32214
2344,8525
2345,16
2346,996
2347,1508
2348,32485
2349,31560
2350,28063
2351,4936
2352,31859
2353,25389
2354,16187
2355,189
2356,7593
2357,391
2358,10090
2359,9969
2360,17
2361,180
2362,17729
2363,7720
2364,1399
2365,24781
2366,274
2367,1946
2368,16668
2369,3626
2370,9724
2371,14751
2372,2938
2373,9785
2374,34549
2375,22777
2376,12119
2377,897
2378,3250
2379,6231
2380,23945
2381,1655
2382,6336
2383,13139
2384,2335
2385,33949
2386,10187
2387,3622
2388,12049
2389,3016
2390,10218
2391,1494
2392,21867
2393,9981
2394,31149
2395,13469
2396,18277
2397,937
2398,21105
2399,32879
2400,10397
2401,13125
2402,4107
2403,282
2404,35082
2405,1391
2406,20045
2407,21775
2408,17391
2409,9308
2410,6117
2411,16001
2412,1098
2413,2981
2414,12015
2415,15085
2416,769
2417,2437
2418,8358
2419,90
2420,10694
2421,9624
2422,3784
2423,2213
2424,986
2425,1764
2426,6573
2427,2259
2428,34277
2429,33299
2430,10075
2431,186
2432,1359
2433,1121
2434,21185
2435,24765
2436,18691
2437,3298
2438,18001
2439,20
2440,1854
2441,7875
2442,2594
2443,25861
2444,14817
2445,406
2446,2071
2447,4415
2448,6467
2449,119
2450,4304
2451,361
2452,4342
2453,1207
2454,5
2455,5675
2456,31645
2457,1324
2458,31765
2459,29223
2460,1727
2461,31418
2462,2263
2463,30652
2464,252
2465,12979
2466,465
2467,10161
2468,33788
2469,28495
2470,8934
2471,31757
2472,19429
2473,66
2474,502
2475,350
2476,1097
2477,2927
2478,276
2479,12175
2480,23385
2481,30382
2482,13271
2483,644
2484,1935
2485,191
2486,1013
2487,32961
2488,31783
2489,15125
2490,14749
2491,18139
2492,1010
2493,10417
2494,6380
2495,32282
2496,20423
2497,8481
2498,2228
2499,2476
2500,28249
2501,899
2502,212
2503,13675
2504,325
2505,507
2506,13409
2507,32998
2508,29325
2509,1805
2510,6178
2511,5521
2512,24469
2513,5039
2514,841
2515,29575
2516,2225
2517,13587
2518,19671
2519,1221
2520,6783
2521,6187
2522,6287
2523,6956
2524,11319
2525,3378
2526,478
2527,11977
2528,9926
2529,3455
2530,19021
2531,30954
2532,5941
2533,28593
2534,14131
2535,14807
2536,85
2537,27601
2538,11371
2539,24455
2540,18153
2541,15097
2542,999
2543,15437
2544,28881
2545,901
2546,2217
2547,2106
2548,25283
2549,24135
2550,32171
2551,21677
2552,16157
2553,28861
2554,2404
2555,32267
2556,7870
2557,23153
2558,1260
2559,1479
2560,3712
2561,6747
2562,1430
2563,33394
2564,6246
2565,891
2566,6288
2567,1793
2568,2889
2569,198
